OSEBuildingID,DataYear,NumberofFloors,PropertyGFABuilding(s),PropertyGFAParking,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEnergyUseWN(kBtu),SourceEUI(kBtu/sf),LargestPropertyUseTypeGFA,Electricity(kBtu),NaturalGas(kBtu),GHGEmissionsIntensity,OHE_Campus,OHE_Multifamily,OHE_NonResidential,OHE_SPS-District K-12,OHE_Autres_TaxParcelIdentificationNumber,OHE_Autres_Neighborhood,OHE_BALLARD,OHE_CENTRAL,OHE_DELRIDGE NEIGHBORHOODS,OHE_DOWNTOWN,OHE_EAST,OHE_GREATER DUWAMISH,OHE_LAKE UNION,OHE_MAGNOLIA / QUEEN ANNE,OHE_NORTH,OHE_NORTHEAST,OHE_NORTHWEST,OHE_SOUTHEAST,OHE_SOUTHWEST,OHE_Autres_LargestPropertyUseType,OHE_Distribution Center,OHE_Hotel,OHE_K-12 School,OHE_Multifamily Housing,OHE_Non-Refrigerated Warehouse,OHE_Office,OHE_Other,OHE_Retail Store,OHE_Worship Facility,OHE_Autres_ComplianceStatus,OHE_Compliant,OHE_Not Compliant,OHE_Account Requires Verification,OHE_Autres_ComplianceIssue,OHE_No Issue,OHE_Portfolio Manager Account Not Shared
1.0,2019.0,4.0,43645.0,0.0,62.0,36.1,1773587.0,83.3,41615.0,1145137.0,338864.0,0.6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2.0,2019.0,4.0,43645.0,0.0,70.0,36.1,1773587.0,83.3,41615.0,1145137.0,338864.0,0.6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3.0,2019.0,4.0,43645.0,0.0,64.0,36.1,1773587.0,83.3,41615.0,1145137.0,338864.0,0.6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5.0,2019.0,4.0,61320.0,0.0,58.0,36.1,1773587.0,83.3,61320.0,1145137.0,338864.0,0.6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
8.0,2019.0,4.0,43645.0,0.0,63.0,36.1,1773587.0,83.3,41615.0,1145137.0,338864.0,0.6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
9.0,2019.0,2.0,60090.0,0.0,55.4,36.1,1773587.0,83.3,50755.0,1145137.0,338864.0,0.6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
10.0,2019.0,4.0,43645.0,0.0,59.0,36.1,1773587.0,83.3,41615.0,1145137.0,338864.0,0.6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
11.0,2019.0,8.0,43645.0,0.0,62.6,36.1,1773587.0,83.3,41615.0,1145137.0,493872.0,0.6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
12.0,2019.0,4.0,43645.0,0.0,69.0,36.1,1773587.0,83.3,41615.0,1145137.0,338864.0,0.6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
13.0,2019.0,6.0,62216.0,0.0,78.6,36.1,1773587.0,83.3,43377.0,1145137.0,338864.0,0.6,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
